,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,10.885238539954349,46.0,two-sided,2.560360509144805e-14,7.681081527434415e-14,bonf,2.832e+11,1.2640222949177495
1,condition,-,fast,turn,True,True,9.98777838041921,46.0,two-sided,4.2316098411937857e-13,1.2694829523581357e-12,bonf,1.904e+10,1.1476274320328095
2,condition,-,normal,turn,True,True,0.23156093575350478,46.0,two-sided,0.8179060465655857,1.0,bonf,0.162,0.028285518810798976
3,group,-,HC,PD,False,True,1.0721403319532212,22.589522364673456,two-sided,0.29497806634501605,0.8849341990350481,bonf,0.522,0.3813237017694475
4,group,-,HC,PSP,False,True,5.400287919147862,26.03734697228295,two-sided,1.1668176635662767e-05,3.5004529906988304e-05,bonf,1992.04,1.8970668145626777
5,group,-,PD,PSP,False,True,3.1888969626141885,28.0,two-sided,0.0035021000934431913,0.010506300280329573,bonf,11.378,1.132949708097405
6,condition * group,fast,HC,PD,False,True,1.454168855607883,27.407737644949922,two-sided,0.1572563203793584,1.0,bonf,0.748,0.5080339534473071
7,condition * group,fast,HC,PSP,False,True,5.387484874042635,29.490545542223103,two-sided,8.214071637320024e-06,7.392664473588023e-05,bonf,1929.62,1.8606198010104886
8,condition * group,fast,PD,PSP,False,True,3.315376785094107,28.0,two-sided,0.0025386207048868135,0.022847586343981322,bonf,14.652,1.1778853957783784
9,condition * group,normal,HC,PD,False,True,0.48264492607595416,20.620141395700244,two-sided,0.6344321259104583,1.0,bonf,0.368,0.17287109456242059
10,condition * group,normal,HC,PSP,False,True,4.790892945308778,20.90010187847811,two-sided,9.953928302676389e-05,0.000895853547240875,bonf,444.03,1.714233839649779
11,condition * group,normal,PD,PSP,False,True,3.3688615624829437,28.0,two-sided,0.002213086209188589,0.019917775882697303,bonf,16.333,1.1968874405734105
12,condition * group,turn,HC,PD,False,True,0.6257374536855401,20.348879899300243,two-sided,0.5384428057999382,1.0,bonf,0.391,0.22434545606427064
13,condition * group,turn,HC,PSP,False,True,3.97853062044368,28.78332717320059,two-sided,0.00042844427237152854,0.003855998451343757,bonf,65.079,1.3806655665035217
14,condition * group,turn,PD,PSP,False,True,1.956092455491559,28.0,two-sided,0.0604973972287745,0.5444765750589705,bonf,1.4,0.6949595432032846
