,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,-13.246242965070989,46.0,two-sided,2.6177134730318463e-17,7.853140419095538e-17,bonf,2.19e+14,-1.1270893966342013
1,condition,-,fast,turn,True,True,-7.5109976002874435,46.0,two-sided,1.5690805764017522e-09,4.7072417292052565e-09,bonf,7.345e+06,-0.9826073799663685
2,condition,-,normal,turn,True,True,-1.2011872228512037,46.0,two-sided,0.23582703270013305,0.7074810981003992,bonf,0.311,-0.16026358356992737
3,group,-,HC,PD,False,True,-1.3128534248762997,17.493428430771885,two-sided,0.20619526013932357,0.6185857804179707,bonf,0.647,-0.4759317917122595
4,group,-,HC,PSP,False,True,-4.570360748003878,18.903627582613634,two-sided,0.00021151703745957373,0.0006345511123787213,bonf,260.591,-1.6475358577258317
5,group,-,PD,PSP,False,True,-2.123150920968394,28.0,two-sided,0.0427147008330873,0.1281441024992619,bonf,1.777,-0.7543119907474104
6,condition * group,fast,HC,PD,False,True,-1.668301448197677,24.127460495528666,two-sided,0.10818383657344362,0.9736545291609926,bonf,0.956,-0.5901506222895491
7,condition * group,fast,HC,PSP,False,True,-4.9787755585827025,20.926979195255598,two-sided,6.362850771631475e-05,0.0005726565694468327,bonf,702.692,-1.7812872779972242
8,condition * group,fast,PD,PSP,False,True,-3.126719694573807,28.0,two-sided,0.004095965891082817,0.036863693019745354,bonf,10.07,-1.1108593995981
9,condition * group,normal,HC,PD,False,True,-0.9373975223173805,19.033216594570774,two-sided,0.36029762989101344,1.0,bonf,0.471,-0.3377469207522645
10,condition * group,normal,HC,PSP,False,True,-4.494968051207135,17.262153625502915,two-sided,0.00030814141674668626,0.0027732727507201764,bonf,217.556,-1.6310710006527238
11,condition * group,normal,PD,PSP,False,True,-3.0730403093807808,28.0,two-sided,0.004685035571990104,0.04216532014791094,bonf,9.073,-1.0917882146403297
12,condition * group,turn,HC,PD,False,True,-1.044077432458348,16.229500390476055,two-sided,0.31175262645953666,1.0,bonf,0.51,-0.3805526300393807
13,condition * group,turn,HC,PSP,False,True,-3.2440918323622956,22.317807499269573,two-sided,0.0036764284063315806,0.03308785565698422,bonf,13.22,-1.1549185014636
14,condition * group,turn,PD,PSP,False,True,-0.6988462414040642,28.0,two-sided,0.49041270531954206,1.0,bonf,0.415,-0.24828574095872868
