,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,-9.319753104162839,46.0,two-sided,3.642053906753781e-12,1.0926161720261342e-11,bonf,2.411e+09,-0.8574140780497076
1,condition,-,fast,turn,True,True,-8.957840031266395,46.0,two-sided,1.1946058848310633e-11,3.58381765449319e-11,bonf,7.723e+08,-1.3826688840223593
2,condition,-,normal,turn,True,True,-5.0354207151554595,46.0,two-sided,7.804403690389658e-06,2.3413211071168974e-05,bonf,2443.608,-0.7687131702302944
3,group,-,HC,PD,False,True,-4.0258794163640275,22.819176946468318,two-sided,0.0005341452707296692,0.0016024358121890076,bonf,72.514,-1.4307107396543643
4,group,-,HC,PSP,False,True,-4.690023968778353,25.76399353819575,two-sided,7.775077967030734e-05,0.00023325233901092202,bonf,347.674,-1.649255719085115
5,group,-,PD,PSP,False,True,-0.06956267123028206,28.0,two-sided,0.9450361835275056,1.0,bonf,0.345,-0.024714190827983436
6,condition * group,fast,HC,PD,False,True,-3.9274978497881077,27.15790909501159,two-sided,0.0005317263833164287,0.004785537449847858,bonf,57.953,-1.373577667494842
7,condition * group,fast,HC,PSP,False,True,-6.664438698112256,29.8659801032286,two-sided,2.262899170439477e-07,2.0366092533955294e-06,bonf,4.685e+04,-2.2726330539438337
8,condition * group,fast,PD,PSP,False,True,-1.5404389370173994,28.0,two-sided,0.13467994796937865,1.0,bonf,0.833,-0.547286370333217
9,condition * group,normal,HC,PD,False,True,-5.198317873010726,24.532058052618833,two-sided,2.359831740566496e-05,0.00021238485665098464,bonf,1207.003,-1.8362247244720489
10,condition * group,normal,HC,PSP,False,True,-5.896371645701666,23.062996015831256,two-sided,5.147270804079939e-06,4.632543723671945e-05,bonf,6873.875,-2.093646945554171
11,condition * group,normal,PD,PSP,False,True,-0.8957112669565752,28.0,two-sided,0.3780431901654181,1.0,bonf,0.467,-0.3182278481666906
12,condition * group,turn,HC,PD,False,True,-2.0044122055009295,23.24127010574804,two-sided,0.05681259399045728,0.5113133459141155,bonf,1.493,-0.7112680630829956
13,condition * group,turn,HC,PSP,False,True,-1.0146135129884921,29.580922013235657,two-sided,0.3185175306586445,1.0,bonf,0.499,-0.3501255188658006
14,condition * group,turn,PD,PSP,False,True,1.2290147951143555,28.0,two-sided,0.2292953513410334,1.0,bonf,0.607,0.4366437579189552
