,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,9.3156486976502,46.0,two-sided,3.69114306661228e-12,1.1073429199836841e-11,bonf,2.38e+09,0.8530421864175556
1,condition,-,fast,turn,True,True,5.460139641950554,46.0,two-sided,1.8499351662139401e-06,5.549805498641821e-06,bonf,9325.562,0.8481966457354765
2,condition,-,normal,turn,True,True,1.572863343391238,46.0,two-sided,0.12260414654952108,0.36781243964856325,bonf,0.497,0.22940525878915924
3,group,-,HC,PD,False,True,3.1009468065021477,21.80105327705041,two-sided,0.0052511590069258315,0.015753477020777493,bonf,9.905,1.1059790332444175
4,group,-,HC,PSP,False,True,5.556627129592918,28.98699245414128,two-sided,5.416407763945602e-06,1.6249223291836806e-05,bonf,2940.519,1.9259647313360304
5,group,-,PD,PSP,False,True,0.8668547994495912,28.0,two-sided,0.39338970808651275,1.0,bonf,0.458,0.3079757369125349
6,condition * group,fast,HC,PD,False,True,3.24636191444946,26.642907258903655,two-sided,0.003148194114756264,0.028333747032806375,bonf,13.282,1.1377401687497932
7,condition * group,fast,HC,PSP,False,True,6.125533715659744,29.996225358240398,two-sided,9.82669729442969e-07,8.84402756498672e-06,bonf,1.22e+04,2.09924479250504
8,condition * group,fast,PD,PSP,False,True,1.8208443111644046,28.0,two-sided,0.07933389140083472,0.7140050226075124,bonf,1.168,0.6469086505489948
9,condition * group,normal,HC,PD,False,True,4.656927586887538,24.800181827570746,two-sided,9.23008951205242e-05,0.0008307080560847178,bonf,320.958,1.643406293918674
10,condition * group,normal,HC,PSP,False,True,5.460135323516568,23.085427206958308,two-sided,1.4822662980612363e-05,0.00013340396682551126,bonf,2311.959,1.9385979179732806
11,condition * group,normal,PD,PSP,False,True,1.002270023128007,28.0,two-sided,0.32479670171293973,1.0,bonf,0.503,0.3560859894346599
12,condition * group,turn,HC,PD,False,True,1.5291924899643443,18.172643337692136,two-sided,0.14343699378768962,1.0,bonf,0.812,0.5528314512338653
13,condition * group,turn,HC,PSP,False,True,2.7476667919667,28.378036860556307,two-sided,0.010315315827055036,0.09283784244349533,bonf,5.042,0.955612467839087
14,condition * group,turn,PD,PSP,False,True,0.015066163290720245,28.0,two-sided,0.9880862383056441,1.0,bonf,0.344,0.005352698912032697
