,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,-1.5822046524601638,45.0,two-sided,0.12060673817327992,0.36182021451983976,bonf,0.508,-0.20947778210348988
1,condition,-,fast,turn,True,True,-4.099423690066137,45.0,two-sided,0.0001709554703575997,0.0005128664110727991,bonf,143.908,-0.731125312972238
2,condition,-,normal,turn,True,True,-3.175127455601061,45.0,two-sided,0.0027028203218919405,0.008108460965675822,bonf,12.1,-0.5721799205278726
3,group,-,HC,PD,False,True,-0.5765571831007713,20.673927021094677,two-sided,0.570463444135104,1.0,bonf,0.383,-0.20646766492774274
4,group,-,HC,PSP,False,True,-0.650632837746852,27.65264824729046,two-sided,0.5206534241980317,1.0,bonf,0.401,-0.22913873159423892
5,group,-,PD,PSP,False,True,0.13724861252877008,21.817193304419455,two-sided,0.8920930271927997,1.0,bonf,0.351,0.04861057691551626
6,condition * group,fast,HC,PD,False,True,-1.4895689591627563,16.371197829673562,two-sided,0.15535011359963857,1.0,bonf,0.777,-0.5425873566440796
7,condition * group,fast,HC,PSP,False,True,-1.4621783259951997,16.747399395602827,two-sided,0.1622043055172252,1.0,bonf,0.761,-0.5514721575864773
8,condition * group,fast,PD,PSP,False,True,0.28088342549721246,25.70965684674713,two-sided,0.7810479049259699,1.0,bonf,0.359,0.1003968026371831
9,condition * group,normal,HC,PD,False,True,-1.7638385376540808,16.14142999397462,two-sided,0.09667420924491929,0.8700678832042736,bonf,1.077,-0.6431492564970239
10,condition * group,normal,HC,PSP,False,True,-2.6268954716127983,14.597365326674899,two-sided,0.019379352607761954,0.1744141734698576,bonf,4.027,-1.0069630098773583
11,condition * group,normal,PD,PSP,False,True,-0.796144827309242,26.42356364469224,two-sided,0.43304276156831445,1.0,bonf,0.443,-0.2883481426450778
12,condition * group,turn,HC,PD,False,True,0.5111121313392151,29.635929306444943,two-sided,0.6130594921524479,1.0,bonf,0.372,0.17628268765296404
13,condition * group,turn,HC,PSP,False,True,1.373073254135765,23.831655631785924,two-sided,0.18251204951859815,1.0,bonf,0.693,0.4531929740506276
14,condition * group,turn,PD,PSP,False,True,0.6942567276804069,20.570248021139555,two-sided,0.49528811956914176,1.0,bonf,0.418,0.24528697999413876
