,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,12.557402457801063,46.0,two-sided,1.8129655530642827e-16,5.438896659192848e-16,bonf,3.368e+13,0.6941401120637579
1,condition,-,fast,turn,True,True,11.870782263916063,46.0,two-sided,1.3250325442303905e-15,3.975097632691172e-15,bonf,4.928e+12,1.530293303759037
2,condition,-,normal,turn,True,True,7.152799153245636,46.0,two-sided,5.378133045522881e-09,1.6134399136568643e-08,bonf,2.28e+06,0.865136857368187
3,group,-,HC,PD,False,True,4.069708377324486,20.058175402916795,two-sided,0.0005947233657176028,0.0017841700971528084,bonf,80.191,1.4606749368219587
4,group,-,HC,PSP,False,True,4.829989122598547,20.987456078171316,two-sided,8.977026146133796e-05,0.0002693107843840139,bonf,488.366,1.7276778207922086
5,group,-,PD,PSP,False,True,0.3790385542525803,28.0,two-sided,0.7075184624900915,1.0,bonf,0.364,0.13466462680753555
6,condition * group,fast,HC,PD,False,True,4.830305413620787,19.24790454992802,two-sided,0.00011236271281115864,0.0010112644153004277,bonf,488.742,1.7389437256403117
7,condition * group,fast,HC,PSP,False,True,6.703665405161911,20.959391893122362,two-sided,1.2506418172725594e-06,1.1255776355453035e-05,bonf,5.165e+04,2.3981310679749672
8,condition * group,fast,PD,PSP,False,True,0.902984704331958,28.0,two-sided,0.3742371489561792,1.0,bonf,0.469,0.32081195133713275
9,condition * group,normal,HC,PD,False,True,5.706228680333288,19.09622937136779,two-sided,1.652202016448825e-05,0.00014869818148039425,bonf,4272.269,2.055472958849171
10,condition * group,normal,HC,PSP,False,True,7.238007608474943,20.40828777238375,two-sided,4.678013875815268e-07,4.210212488233742e-06,bonf,1.936e+05,2.5944756582256843
11,condition * group,normal,PD,PSP,False,True,0.6824428062901555,28.0,two-sided,0.5005663734059748,1.0,bonf,0.411,0.24245793678632216
12,condition * group,turn,HC,PD,False,True,1.1887999142670178,24.549822559715547,two-sided,0.2458909243989788,1.0,bonf,0.576,0.4198983671388034
13,condition * group,turn,HC,PSP,False,True,0.6886327392262585,24.891898636362473,two-sided,0.49742306242857215,1.0,bonf,0.404,0.24293472552369208
14,condition * group,turn,PD,PSP,False,True,-0.4354343746197702,28.0,two-sided,0.6665854619621052,1.0,bonf,0.37,-0.1547009054869642
