,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,9.290226131062548,46.0,two-sided,4.010462667642708e-12,1.2031388002928125e-11,bonf,2.198e+09,0.8514643705343055
1,condition,-,fast,turn,True,True,7.518309199501047,46.0,two-sided,1.5302308428624465e-09,4.59069252858734e-09,bonf,7.522e+06,0.9986329773434065
2,condition,-,normal,turn,True,True,2.7148965424538716,46.0,two-sided,0.009303954132302094,0.02791186239690628,bonf,4.091,0.300133141834135
3,group,-,HC,PD,False,True,3.6396037127278746,23.65355300559444,two-sided,0.0013251784959410356,0.003975535487823107,bonf,30.535,1.2896442335857392
4,group,-,HC,PSP,False,True,5.349514848288006,28.722981324781806,two-sided,9.884719271811747e-06,2.965415781543524e-05,bonf,1755.864,1.857074976184602
5,group,-,PD,PSP,False,True,0.619148161589368,28.0,two-sided,0.540824135592409,1.0,bonf,0.398,0.2199706472694166
6,condition * group,fast,HC,PD,False,True,3.23449172496249,26.62098470042964,two-sided,0.0032453526745479964,0.02920817407093197,bonf,12.964,1.133678562739953
7,condition * group,fast,HC,PSP,False,True,6.121887590960945,29.99616318962883,two-sided,9.927136028671862e-07,8.934422425804676e-06,bonf,1.209e+04,2.098007551357031
8,condition * group,fast,PD,PSP,False,True,1.8253099633853171,28.0,two-sided,0.07863950836004287,0.7077555752403858,bonf,1.175,0.6484952052227463
9,condition * group,normal,HC,PD,False,True,4.640899735033986,24.835914179209592,two-sided,9.589719735975967e-05,0.000863074776237837,bonf,308.786,1.6375394619101102
10,condition * group,normal,HC,PSP,False,True,5.427934355500389,23.068576362254067,two-sided,1.608018531896152e-05,0.0001447216678706537,bonf,2133.869,1.9272793212062547
11,condition * group,normal,PD,PSP,False,True,0.9972587142307723,28.0,two-sided,0.32717977427823186,1.0,bonf,0.501,0.3543055741315409
12,condition * group,turn,HC,PD,False,True,2.4330975781403783,21.587633254135252,two-sided,0.023729608465660218,0.21356647619094196,bonf,2.904,0.8684440451242756
13,condition * group,turn,HC,PSP,False,True,2.917172599104218,29.804494602409527,two-sided,0.0066542665201985655,0.05988839868178709,bonf,6.923,0.9939041943070875
14,condition * group,turn,PD,PSP,False,True,-0.6373305779344038,28.0,two-sided,0.5290869060978052,1.0,bonf,0.402,-0.22643048699836366
