,Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
0,condition,-,fast,normal,True,True,12.974923078439248,46.0,two-sided,5.570200403136826e-17,1.6710601209410478e-16,bonf,1.055e+14,1.1057141866656124
1,condition,-,fast,turn,True,True,12.309297205685098,46.0,two-sided,3.694039387586937e-16,1.1082118162760811e-15,bonf,1.693e+13,1.7116344564278183
2,condition,-,normal,turn,True,True,6.64785229381065,46.0,two-sided,3.079538922182132e-08,9.238616766546396e-08,bonf,4.371e+05,0.7363529512137028
3,group,-,HC,PD,False,True,4.717967873217692,25.45186878877531,two-sided,7.427790416521749e-05,0.00022283371249565246,bonf,372.001,1.6610046622441468
4,group,-,HC,PSP,False,True,6.528474611734886,24.728571848932067,two-sided,8.150196968312884e-07,2.4450590904938652e-06,bonf,3.339e+04,2.304458983241415
5,group,-,PD,PSP,False,True,1.692843992251835,28.0,two-sided,0.1015848133272433,0.3047544399817299,bonf,0.995,0.6014327616606038
6,condition * group,fast,HC,PD,False,True,5.056354339947708,27.062962603783063,two-sided,2.601460934934483e-05,0.00023413148414410347,bonf,850.289,1.7690735563534488
7,condition * group,fast,HC,PSP,False,True,8.224648839039348,28.57373777072504,two-sided,5.099180183700964e-09,4.589262165330867e-08,bonf,2.101e+06,2.8575207373266407
8,condition * group,fast,PD,PSP,False,True,2.4719685035066292,28.0,two-sided,0.019780738718499925,0.17802664846649932,bonf,3.071,0.8782397259326717
9,condition * group,normal,HC,PD,False,True,4.851578351429853,21.271619865763512,two-sided,8.236486018939843e-05,0.0007412837417045859,bonf,514.761,1.7336278753080687
10,condition * group,normal,HC,PSP,False,True,7.739326512730545,22.722273430712477,two-sided,8.183336135500212e-08,7.365002521950191e-07,bonf,6.568e+05,2.7513278494709783
11,condition * group,normal,PD,PSP,False,True,1.9195249483382488,28.0,two-sided,0.06516090742441462,0.5864481668197316,bonf,1.332,0.6819678576640851
12,condition * group,turn,HC,PD,False,True,2.2020029173359097,28.69828112815421,two-sided,0.03585835836343755,0.32272522527093794,bonf,2.002,0.7645275929407428
13,condition * group,turn,HC,PSP,False,True,2.06088083658453,26.57815689648658,two-sided,0.04922444990751551,0.4430200491676396,bonf,1.619,0.7224541460840017
14,condition * group,turn,PD,PSP,False,True,0.0521275850048106,28.0,two-sided,0.9587971557611166,1.0,bonf,0.345,0.01851986216782885
