Contrast,condition,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,hedges,DV,p-bonf-global,alpha_bonf_global,sig_bonf_global,sig_from_punc_global
group,-,HC,PSP,False,True,6.528474611734886,24.728571848932067,two-sided,8.150196968312884e-07,3.339e+04,2.304458983241415,Velocity,5.216126059720246e-05,0.00078125,True,True
group,-,PD,PSP,False,True,1.692843992251835,28.0,two-sided,0.1015848133272433,0.995,0.6014327616606038,Velocity,1.0,0.00078125,False,False
condition * group,fast,HC,PSP,False,True,8.224648839039348,28.57373777072504,two-sided,5.099180183700964e-09,2.101e+06,2.8575207373266407,Velocity,3.263475317568617e-07,0.00078125,True,True
condition * group,fast,PD,PSP,False,True,2.4719685035066292,28.0,two-sided,0.019780738718499925,3.071,0.8782397259326717,Velocity,1.0,0.00078125,False,False
condition * group,normal,HC,PSP,False,True,7.739326512730545,22.722273430712477,two-sided,8.183336135500212e-08,6.568e+05,2.7513278494709783,Velocity,5.237335126720136e-06,0.00078125,True,True
condition * group,normal,PD,PSP,False,True,1.9195249483382488,28.0,two-sided,0.06516090742441462,1.332,0.6819678576640851,Velocity,1.0,0.00078125,False,False
condition * group,turn,HC,PSP,False,True,2.06088083658453,26.57815689648658,two-sided,0.04922444990751551,1.619,0.7224541460840017,Velocity,1.0,0.00078125,False,False
condition * group,turn,PD,PSP,False,True,0.0521275850048106,28.0,two-sided,0.9587971557611166,0.345,0.01851986216782885,Velocity,1.0,0.00078125,False,False
group,-,HC,PSP,False,True,5.400287919147862,26.03734697228295,two-sided,1.1668176635662767e-05,1992.04,1.8970668145626777,Cadence,0.0007467633046824171,0.00078125,True,True
group,-,PD,PSP,False,True,3.1888969626141885,28.0,two-sided,0.0035021000934431913,11.378,1.132949708097405,Cadence,0.22413440598036424,0.00078125,False,False
condition * group,fast,HC,PSP,False,True,5.387484874042635,29.490545542223103,two-sided,8.214071637320024e-06,1929.62,1.8606198010104886,Cadence,0.0005257005847884816,0.00078125,True,True
condition * group,fast,PD,PSP,False,True,3.315376785094107,28.0,two-sided,0.0025386207048868135,14.652,1.1778853957783784,Cadence,0.16247172511275607,0.00078125,False,False
condition * group,normal,HC,PSP,False,True,4.790892945308778,20.90010187847811,two-sided,9.953928302676389e-05,444.03,1.714233839649779,Cadence,0.006370514113712889,0.00078125,True,True
condition * group,normal,PD,PSP,False,True,3.3688615624829437,28.0,two-sided,0.002213086209188589,16.333,1.1968874405734105,Cadence,0.1416375173880697,0.00078125,False,False
condition * group,turn,HC,PSP,False,True,3.97853062044368,28.78332717320059,two-sided,0.00042844427237152854,65.079,1.3806655665035217,Cadence,0.027420433431777826,0.00078125,True,True
condition * group,turn,PD,PSP,False,True,1.956092455491559,28.0,two-sided,0.0604973972287745,1.4,0.6949595432032846,Cadence,1.0,0.00078125,False,False
group,-,HC,PSP,False,True,4.829989122598547,20.987456078171316,two-sided,8.977026146133796e-05,488.366,1.7276778207922086,StepLengthmean,0.0057452967335256296,0.00078125,True,True
group,-,PD,PSP,False,True,0.3790385542525803,28.0,two-sided,0.7075184624900915,0.364,0.13466462680753555,StepLengthmean,1.0,0.00078125,False,False
condition * group,fast,HC,PSP,False,True,6.703665405161911,20.959391893122362,two-sided,1.2506418172725594e-06,5.165e+04,2.3981310679749672,StepLengthmean,8.00410763054438e-05,0.00078125,True,True
condition * group,fast,PD,PSP,False,True,0.902984704331958,28.0,two-sided,0.3742371489561792,0.469,0.32081195133713275,StepLengthmean,1.0,0.00078125,False,False
condition * group,normal,HC,PSP,False,True,7.238007608474943,20.40828777238375,two-sided,4.678013875815268e-07,1.936e+05,2.5944756582256843,StepLengthmean,2.9939288805217716e-05,0.00078125,True,True
